Company name,ASX code,GICS industry group,GICS Industry (Sub-Level),Share Price (AUD),Market Cap (Billion AUD),Outstanding Shares (Billion)
PEPPER RESIDENTIAL SECURITIES TRUST NO. 39,PEP,Not Applic,Other/Not Applicable,,,
PEPPER RESIDENTIAL SECURITIES TRUST NO. 40,PR4,Not Applic,Other/Not Applicable,,,
PEPPER SPARKZ TRUST NO.6,PU6,Not Applic,Other/Not Applicable,,,
PEPPER SPARKZ TRUST NO.8,PU8,Not Applic,Other/Not Applicable,,,
PEPPER SPARKZ TRUST NO.9,PU9,Not Applic,Other/Not Applicable,,,
PEPPERMINT INNOVATION LIMITED,PIL,Software & Services,IT Services; Software,,,
PERCHERON THERAPEUTICS LIMITED,PER,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
PEREGRINE GOLD LTD,PGD,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PERENTI LIMITED,PRN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PERPETUAL CREDIT INCOME TRUST,PCI,Not Applic,Other/Not Applicable,,,
PERPETUAL EQUITY INVESTMENT COMPANY LIMITED,PIC,Not Applic,Other/Not Applicable,,,
PERPETUAL LIMITED,PPT,Financial Services,Diversified Financials; Capital Markets,,,
PERPETUAL RESOURCES LIMITED,PEC,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PERSEUS MINING LIMITED,PRU,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PETER WARREN AUTOMOTIVE HOLDINGS LIMITED,PWR,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
PEXA GROUP LIMITED,PXA,Real Estate Management & Development,Real Estate Management & Development,,,
PHARMX TECHNOLOGIES LIMITED,PHX,Software & Services,IT Services; Software,,,
PHOSCO LTD,PHO,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PHOSLOCK ENVIRONMENTAL TECHNOLOGIES LIMITED,PET,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
PICHE RESOURCES LIMITED,PR2,Not Applic,Other/Not Applicable,,,
PILOT ENERGY LIMITED,PGY,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED,PNI,Financial Services,Diversified Financials; Capital Markets,,,
PINNACLE MINERALS LIMITED,PIM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PIONEER CREDIT LIMITED,PNC,Financial Services,Diversified Financials; Capital Markets,,,
PIONEER MINERALS LIMITED,PMM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PIVOTAL METALS LIMITED,PVT,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PLATFORMO LTD,PFM,Software & Services,IT Services; Software,,,
PLATINA RESOURCES LIMITED,PGM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PLATO INCOME MAXIMISER LIMITED.,PL8,Not Applic,Other/Not Applicable,,,
PLAYSIDE STUDIOS LIMITED,PLY,Media & Entertainment,Media; Entertainment,,,
PLENTI GROUP LIMITED,PLT,Financial Services,Diversified Financials; Capital Markets,,,
PLS GROUP LIMITED,PLS,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PM CAPITAL GLOBAL OPPORTUNITIES FUND LIMITED,PGF,Not Applic,Other/Not Applicable,,,
PMET RESOURCES INC.,PMT,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PO VALLEY ENERGY LIMITED,PVE,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
PODIUM MINERALS LIMITED,POD,Materials,Chemicals; Construction Materials; Metals & Mining,,,
POINTERRA LIMITED,3DP,Software & Services,IT Services; Software,,,
POINTSBET HOLDINGS LIMITED,PBH,Consumer Services,"Hotels, Restaurants & Leisure",,,
POLARX LIMITED,PXX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
POLYMETALS RESOURCES LTD,POL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
POLYNOVO LIMITED,PNV,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
POWER MINERALS LIMITED,PNN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
POWERHOUSE VENTURES LIMITED,PVL,Financial Services,Diversified Financials; Capital Markets,,,
PPK GROUP LIMITED,PPK,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PRAEMIUM LIMITED,PPS,Software & Services,IT Services; Software,,,
PRAIRIE LITHIUM LIMITED,PL9,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PREDICTIVE DISCOVERY LIMITED,PDI,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PREMIER INVESTMENTS LIMITED,PMV,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
PREMIER1 LITHIUM LIMITED,PLC,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PRESCIENT THERAPEUTICS LIMITED,PTX,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
PRESTAL HOLDINGS LIMITED,PTL,Household & Personal Products,Household Products; Personal Products,,,
PRIME FINANCIAL GROUP LIMITED,PFG,Financial Services,Diversified Financials; Capital Markets,,,
PRL GLOBAL LTD,PRG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PRO MEDICUS LIMITED,PME,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
PRO-PAC PACKAGING LIMITED,PPG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PRODIGY GOLD NL,PRX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PROGRESS 2017-2 TRUST,POT,Not Applic,Other/Not Applicable,,,
PROGRESS 2021-1 TRUST,POB,Not Applic,Other/Not Applicable,,,
PROGRESS 2022-1 TRUST,POC,Not Applic,Other/Not Applicable,,,
PROGRESS 2022-2 TRUST,POF,Not Applic,Other/Not Applicable,,,
PROGRESS 2023-1 TRUST,POE,Not Applic,Other/Not Applicable,,,
PROGRESS 2023-2 TRUST,POH,Not Applic,Other/Not Applicable,,,
PROGRESS 2024-1 TRUST,POG,Not Applic,Other/Not Applicable,,,
PROGRESS 2024-2 TRUST,PGS,Not Applic,Other/Not Applicable,,,
PROGRESS 2025-1 TRUST,POI,Not Applic,Other/Not Applicable,,,
PROMINENCE ENERGY LIMITED,PRM,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
PROPEL FUNERAL PARTNERS LIMITED,PFP,Consumer Services,"Hotels, Restaurants & Leisure",,,
PROPHECY INTERNATIONAL HOLDINGS LIMITED,PRO,Software & Services,IT Services; Software,,,
PROSPECT RESOURCES LIMITED,PSC,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PROTEOMICS INTERNATIONAL LABORATORIES LTD,PIQ,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
PROVARIS ENERGY LTD,PV1,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
PTR MINERALS LTD,PTR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PUMA SERIES 2023-1 TRUST,PUT,Not Applic,Other/Not Applicable,,,
PUMA SERIES 2024-1 TRUST,PUU,Not Applic,Other/Not Applicable,,,
PUMA SERIES 2024-2 TRUST,PS2,Not Applic,Other/Not Applicable,,,
PUMA SERIES 2025-1 TRUST,PUV,Not Applic,Other/Not Applicable,,,
PURE FOODS TASMANIA LIMITED,PFT,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
PURE ONE CORPORATION LIMITED,P1E,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
PURE RESOURCES LIMITED,PR1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PUREPROFILE LTD,PPL,Media & Entertainment,Media; Entertainment,,,
PURSUIT MINERALS LTD,PUR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PWR HOLDINGS LIMITED,PWH,Automobiles & Components,Auto Components; Automobiles,,,
PYC THERAPEUTICS LIMITED,PYC,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
QANTAS AIRWAYS LIMITED,QAN,Transportation,Air Freight & Logistics; Airlines; Road & Rail,,,
QEM LIMITED,QEM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
QMINES LIMITED,QML,Materials,Chemicals; Construction Materials; Metals & Mining,,,
QNB FINANCE LTD,QNB,Not Applic,Other/Not Applicable,,,
QORIA LIMITED,QOR,Software & Services,IT Services; Software,,,
QPM ENERGY LIMITED,QPM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
QUALITAS LIMITED,QAL,Real Estate Management & Development,Real Estate Management & Development,,,
QUALITAS REAL ESTATE INCOME FUND,QRI,Financial Services,Diversified Financials; Capital Markets,,,
QUANTUM GRAPHITE LIMITED,QGL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
QUBE HOLDINGS LIMITED,QUB,Transportation,Air Freight & Logistics; Airlines; Road & Rail,,,
QUEENSLAND TREASURY CORPORATION,XQL,Not Applic,Other/Not Applicable,,,
QUESTE COMMUNICATIONS LIMITED,QUE,Financial Services,Diversified Financials; Capital Markets,,,
QUICKFEE LIMITED,QFE,Financial Services,Diversified Financials; Capital Markets,,,
QX RESOURCES LIMITED,QXR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RACURA ONCOLOGY LTD,RAC,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
RADIOPHARM THERANOSTICS LIMITED,RAD,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
RAGNAR METALS LIMITED,RAG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RAGUSA MINERALS LTD,RAS,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RAIDEN RESOURCES LIMITED,RDN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RAIZ INVEST LIMITED,RZI,Financial Services,Diversified Financials; Capital Markets,,,
RAM ESSENTIAL SERVICES PROPERTY FUND,REP,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
RAM INCOME CAPITAL LTD,RAM,Not Applic,Other/Not Applicable,,,
RAMELIUS RESOURCES LIMITED,RMS,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RAMSAY HEALTH CARE LIMITED,RHC,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
RAND MINING LIMITED,RND,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RANGE INTERNATIONAL LIMITED,RAN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RAPID CRITICAL METALS LIMITED,RCM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RAPTOR METALS LTD,RAP,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RAREX LIMITED,REE,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RAS TECHNOLOGY HOLDINGS LIMITED,RTH,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
RBR GROUP LIMITED,RBR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
REACH RESOURCES LIMITED,RR1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
READCLOUD LIMITED,RCL,Software & Services,IT Services; Software,,,
READYTECH HOLDINGS LIMITED,RDY,Software & Services,IT Services; Software,,,
RECCE PHARMACEUTICALS LTD,RCE,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
RECHARGE METALS LIMITED,REC,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RECKON LIMITED,RKN,Software & Services,IT Services; Software,,,
RECTIFIER TECHNOLOGIES LTD,RFT,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
RED HILL MINERALS LIMITED,RHI,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RED METAL LIMITED,RDM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RED MOUNTAIN MINING LIMITED,RMX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RED SKY ENERGY LIMITED.,ROG,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
REDCASTLE RESOURCES LIMITED,RC1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
REDIVIUM LIMITED,RIL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
REDOX LIMITED,RDX,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
REDSTONE RESOURCES LIMITED,RDS,Materials,Chemicals; Construction Materials; Metals & Mining,,,
REECE LIMITED,REH,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
REEDY LAGOON CORPORATION LIMITED,RLC,Materials,Chemicals; Construction Materials; Metals & Mining,,,
REEF CASINO TRUST,RCT,Consumer Services,"Hotels, Restaurants & Leisure",,,
REGAL ASIAN INVESTMENTS LIMITED,RG8,Not Applic,Other/Not Applicable,,,
REGAL INVESTMENT FUND,RF1,Not Applic,Other/Not Applicable,,,
REGAL PARTNERS GLOBAL INVESTMENTS LIMITED,RG1,Not Applic,Other/Not Applicable,,,
REGAL PARTNERS LIMITED,RPL,Financial Services,Diversified Financials; Capital Markets,,,
REGENER8 RESOURCES NL,R8R,Materials,Chemicals; Construction Materials; Metals & Mining,,,
REGION GROUP,RGN,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
REGIS HEALTHCARE LIMITED,REG,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
REGIS RESOURCES LIMITED,RRL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RELIANCE WORLDWIDE CORPORATION LIMITED,RWC,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
REMSENSE TECHNOLOGIES LIMITED,REM,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
RENASCOR RESOURCES LIMITED,RNU,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RENEGADE EXPLORATION LIMITED,RNX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RENERVE LIMITED,RNV,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
RENT.COM.AU LIMITED,RNT,Media & Entertainment,Media; Entertainment,,,
RESIMAC GROUP LTD,RMC,Financial Services,Diversified Financials; Capital Markets,,,
RESIMAC PREMIER SERIES 2020-1,RA2,Not Applic,Other/Not Applicable,,,
RESIMAC SERIES 2024-1NC,RA3,Not Applic,Other/Not Applicable,,,
RESOLUTE MINING LIMITED,RSG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RESOLUTION MINERALS LTD,RML,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RESONANCE HEALTH LIMITED,RHT,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
RESOURCE BASE LIMITED.,RBX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RESOURCE MINERALS INTERNATIONAL LTD,RMI,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RESOURCES & ENERGY GROUP LIMITED,REZ,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RESOURO STRATEGIC METALS INC.,RAU,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RETAIL FOOD GROUP LIMITED,RFG,Consumer Services,"Hotels, Restaurants & Leisure",,,
REVOLUTION PRIVATE CREDIT INCOME TRUST,REV,Not Applic,Other/Not Applicable,,,
REVOLVER RESOURCES HOLDINGS LTD,RRR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
REWARD MINERALS LTD,RWD,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RHYTHM BIOSCIENCES LIMITED,RHY,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
RICEGROWERS LIMITED,SGL,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
RICHMOND VANADIUM TECHNOLOGY LIMITED,RVT,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RIDLEY CORPORATION LIMITED,RIC,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
RIEDEL RESOURCES LIMITED,RIE,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RIGHT RESOURCES LIMITED,RRE,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RIMFIRE PACIFIC MINING LIMITED,RIM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RINCON RESOURCES LIMITED,RCR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RIVCO AUSTRALIA LTD,RIV,Utilities,Electric Utilities; Gas Utilities; Renewables,,,
RIVERSGOLD LIMITED,RGL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RLF AGTECH LTD,RLF,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RMA GLOBAL LIMITED,RMY,Media & Entertainment,Media; Entertainment,,,
ROBEX RESOURCES INC.,RXR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ROCKETBOOTS LIMITED,ROC,Software & Services,IT Services; Software,,,
ROCKETDNA LTD.,RKT,Technology Hardware & Equipment,Communications Equipment; Electronic Equipment,,,
ROKEBY RESOURCES LIMITED,RKB,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RONIN RESOURCES LTD,RON,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ROOLIFE GROUP LTD,RLG,Media & Entertainment,Media; Entertainment,,,
ROX RESOURCES LIMITED,RXL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RPM AUTOMOTIVE GROUP LIMITED,RPM,Automobiles & Components,Auto Components; Automobiles,,,
RTG MINING INC.,RTG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RUBICON WATER LIMITED,RWL,Technology Hardware & Equipment,Communications Equipment; Electronic Equipment,,,
RUBIX RESOURCES LIMITED,RB6,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RUMBLE RESOURCES LIMITED,RTR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
RURAL FUNDS GROUP,RFF,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
RYDER CAPITAL LIMITED,RYD,Not Applic,Other/Not Applicable,,,
RYMAN HEALTHCARE LIMITED,RYM,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
S2 RESOURCES LTD,S2R,Materials,Chemicals; Construction Materials; Metals & Mining,,,
SABRE RESOURCES LIMITED,SBR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
SAFEROADS HOLDINGS LIMITED,SRH,Transportation,Air Freight & Logistics; Airlines; Road & Rail,,,
SAGALIO ENERGY LIMITED,SAN,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
SALTER BROTHERS EMERGING COMPANIES LIMITED,SB2,Not Applic,Other/Not Applicable,,,
"SALUDA MEDICAL, INC.",SLD,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
SANDFIRE RESOURCES LIMITED,SFR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
SANDON CAPITAL INVESTMENTS LIMITED,SNC,Not Applic,Other/Not Applicable,,,
SANTA FE MINERALS LTD,SFM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
SANTANA MINERALS LIMITED,SMI,Materials,Chemicals; Construction Materials; Metals & Mining,,,
SANTOS FINANCE LIMITED,SFV,Not Applic,Other/Not Applicable,,,
SAPPHIRE XXIX SERIES 2024-1 TRUST,SP4,Not Applic,Other/Not Applicable,,,
SAPPHIRE XXX SERIES 2024-2 TRUST,SP5,Not Applic,Other/Not Applicable,,,
SAPPHIRE XXXI SERIES 2024-3 TRUST,SP6,Not Applic,Other/Not Applicable,,,
SARAMA RESOURCES LTD,SRR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
SARYTOGAN GRAPHITE LIMITED,SGA,Materials,Chemicals; Construction Materials; Metals & Mining,,,
SATURN METALS LIMITED,STN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
SAUNDERS INTERNATIONAL LIMITED,SND,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
SAVANNAH GOLDFIELDS LIMITED,SVG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
SCALARE PARTNERS HOLDINGS LIMITED,SCP,Financial Services,Diversified Financials; Capital Markets,,,
SCENTRE GROUP TRUST 1,SCW,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
SCENTRE GROUP TRUST 1 AND SCENTRE GROUP TRUST 2,SCA,Not Applic,Other/Not Applicable,,,
SCHAFFER CORPORATION LIMITED,SFC,Automobiles & Components,Auto Components; Automobiles,,,
SCHOOLBLAZER LIMITED,SBZ,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
SCIDEV LTD,SDV,Materials,Chemicals; Construction Materials; Metals & Mining,,,
SCORPION MINERALS LIMITED,SCN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
SCOUT SECURITY LIMITED,SCT,Consumer Services,"Hotels, Restaurants & Leisure",,,
SDI LIMITED,SDI,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
SEA FOREST LIMITED,SEA,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
SEAFARMS GROUP LIMITED,SFG,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
SEEK LIMITED,SEK,Media & Entertainment,Media; Entertainment,,,
SELECT HARVESTS LIMITED,SHV,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
SENETAS CORPORATION LIMITED,SEN,Technology Hardware & Equipment,Communications Equipment; Electronic Equipment,,,
SENSEN NETWORKS LIMITED,SNS,Software & Services,IT Services; Software,,,
SENTINEL METALS LIMITED,SNM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
SEQUOIA FINANCIAL GROUP LTD,SEQ,Financial Services,Diversified Financials; Capital Markets,,,
SERIES 2019-1 REDS TRUST,BA2,Not Applic,Other/Not Applicable,,,
SERIES 2019-1 WST TRUST,WE1,Not Applic,Other/Not Applicable,,,
SERIES 2020-1 WST TRUST,WB1,Not Applic,Other/Not Applicable,,,
SERIES 2021-1 WST TRUST,WSE,Not Applic,Other/Not Applicable,,,
SERIES 2024-1 WST TRUST,WS1,Not Applic,Other/Not Applicable,,,
SERIES 2024-2 WST TRUST,WS2,Not Applic,Other/Not Applicable,,,
SERKO LIMITED,SKO,Software & Services,IT Services; Software,,,
SERVCORP LIMITED,SRV,Real Estate Management & Development,Real Estate Management & Development,,,
SERVICE STREAM LIMITED,SSM,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
SGH LIMITED,SGH,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
SHAPE AUSTRALIA CORPORATION LIMITED,SHA,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
SHAVER SHOP GROUP LIMITED,SSG,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
SHEFFIELD RESOURCES LIMITED,SFX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
SHINE JUSTICE LTD,SHJ,Consumer Services,"Hotels, Restaurants & Leisure",,,
SHINHAN BANK.,SHZ,Not Applic,Other/Not Applicable,,,
"SHINHAN CARD CO., LTD.",SC1,Not Applic,Other/Not Applicable,,,
SHRIRO HOLDINGS LIMITED,SHM,Consumer Durables & Apparel,Household Durables; Leisure Products; Apparel,,,
SIERRA NEVADA GOLD INC.,SNX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
SIETEL LIMITED,SSL,Real Estate Management & Development,Real Estate Management & Development,,,
SILEX SYSTEMS LIMITED,SLX,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
SILVER MINES LIMITED,SVL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
